Name,Author,Price,About
Бадун Юлия: Бизнес библия для женщин,Юлия Бадун,200 ₽,"﻿Первая книга о тонкостях и ""подводных камнях"" построения и ведения бизнеса, написанная именно женщиной-предпринимательницей."
"Кащеев Глеб Леонидович: От спама до любви. Как email-рассылки, мессенджеры и соцсети могут стать ключом к сердцу клиента",Глеб Кащеев,200 ₽,"Конструктор e-mail-продвижения для  бизнеса, благодаря которому вы навсегда завоюете сердце клиента!"
Радин Эми: Это сработает! Как внедрять изменения при максимальном сопротивлении,Эми Радин,200 ₽,ПОШАГОВОЕ РУКОВОДСТВО ПО ВНЕДРЕНИЮ ИННОВАЦИЙ
Гарипова Танзиля Искандеровна: Идеальный бизнес-ассистент. Как найти и воспитать надежного помощника,Танзиля Гарипова,123 ₽,"За успешным руководителем, предпринимателем, публичным человеком всегда стоит первоклассный бизнес-ассистент. Не девочка, которая готовит кофе и принимает входящие звонки, а настоящий профессионал. Тот, кто грамотно составит расписание шефа, разрешит конфликтную ситуацию, проведет при необходимости деловую встречу и возьмет на себя организацию зарубежной поездки."
Трэвис Найджел: Спасибо за возражение! Как культура критики принесла мировую известность Dunkin’ Brands,Найджел Трэвис,200 ₽,"Dunkin’ Brands — компания, которой принадлежит 13 000 франшиз Dunkin' Donuts и около 8 000 точек Baskin-Robbins по всему миру, а прибыль оценивается в $240 млн."
"Черри П.: Продающие вопросы: Эффективный способ выяснить, чего действительно хотят ваши клиенты",Продажи,828 ₽,"Итак, если вы желаете выяснить, чего на самом деле хочет ваш клиент, о чем мечтает, чего опасается и что его мотивирует, то для этого нужно задавать правильные вопросы, — способные его заинтересовать, — и преобразовывать его интерес в действия. Поможет в этом проверенный и надежный инструментарий, который вам предоставит автор этой книги Пол Черри, более 20 лет работающий в области продаж и ежегодно инструктирующий более 5000 специалистов по продажам. Хотя его методы изложены применительно к смоделированным ситуациям в разных отраслях бизнеса, но они пригодны для использования и в других сферах человеческой деятельности."
Крейг Эндрю: Как завладеть миром. Инвестируйте умно и мыслите глобально,Эндрю Крейг,314 ₽,"Книга-бестселлер, написанная специалистом по финансам с двадцатилетним стажем. Эндрю Крейг убежден, что инвестировать может каждый, и рассказывает, как это можно сделать. Здесь вы узнаете: какие существуют мифы о богатстве и экономике, какие есть инвестиционные инструменты и как приумножить финансы во время кризиса и инфляции."
"Ильяхов М., Сарычева Л.: Пиши, сокращай: Как создавать сильные тексты",Писательское мастерство,410 ₽,"Авторы на конкретных примерах показывают, что такое хорошо и что такое плохо в информационных, рекламных, журналистских и публицистических текстах. Как писать письма, на которые будут отвечать, и рассылки, от которых не будут отписываться. Как создавать действенные и не вульгарные рекламные объявления. Как излагать мысли кратко, ясно и убедительно: без языкового мусора, фальши и штампов. Следуя рекомендациям в книге, вы научитесь писать понятно, увлекать читателей и добиваться доверия. Это обязательная книга для копирайтеров, авторов и редакторов, а также дизайнеров, программистов, менеджеров, предпринимателей, руководителей, служащих и всех, кто использует текст в работе."
Саймон Морган: Реальное воздействие. Как инвестиции помогают построить лучший мир,Морган Саймон,146 ₽,"﻿В этой книге гуру стратегии Роджер Мартин и президент Фонда Scoll Салли Осберг описывают, как работает социальное предпринимательство и как такие проекты меняют жизни людей по всему миру."
Слободянюк Алексей Викторович: Князья и капуста. Эффективные бизнес-стратегии для менеджеров среднего звена,Алексей Слободянюк,209 ₽,"Тяжелее всего в компании приходится руководителю среднего звена. Сверху прессуют топы, снизу — подчиненные. Постоянно растущие цели, ненормированный график, переговоры в отпуске, выходные на работе — все, как в деловой игре ""Князья и капуста"", по мотивам которой написана эта книга. Алексей Слободянюк ведет игру с 2012 года. За это время больше 20 тысяч человек освоили эффективные стратегии взаимодействия с подчиненными, руководителями, коллегами и контрагентами. Они раз и навсегда расстались с состоянием ""загнанной лошади"" и смогли вздохнуть свободно, зная, что отлаженный бизнес-механизм не даст сбоя."
Адизес И.: Идеальный руководитель. Почему им нельзя стать и что из этого следует,Методология Адизеса,828 ₽,"По мнению доктора Адизеса, менеджмент любой организации должен выполнять четыре функции: производство результатов, администрирование, предпринимательство и интеграцию. Для того чтобы осуществлять их одновременно, руководителю необходимо..."
Батырев Максим : 45 татуировок менеджера. Правила российского руководителя. NEON Pocketbooks,Батырев Максим,371 ₽,"Татуировка — это надпись на всю жизнь. Важная надпись. Названия глав в этой книге — татуировки, оставшиеся в памяти и сердце менеджера, его житейский и организаторский опыт. Это правила о том, как относиться к коллегам, каким образом действовать в определенных ситуациях: свод принципов, которым стоит следовать, если хочешь добиться успеха. Почему? Потому что за каждой главой стоят осмысленные действия, чья-то боль, мучения, радости, удачный и неудачный опыт, подъемы и падения, увольнения и лидерство, а главное — нужный результат."
Максвелл Джон: Главная награда для лидера. Привлекай. Развивай. Мотивируй,Психология. Искусство лидера,1 256 ₽,"Высшая награда для лидера — воспитать команду соратников, которые помогут компании развиваться. А как грамотно воспитывать кадры, знает Джон Максвелл, всемирно признанный эксперт в области лидерства, лектор и автор нескольких бестселлеров."
Ветров Ю.: Паттерны дизайн-менеджмента: Как компании достичь организационной зрелости и улучшить свои продукты,Эффективность бизнеса,2 268 ₽,"Прямо сейчас на рынке цифровых продуктов происходит революция в области институционализации дизайна. Средний уровень дизайна многих компаний значительно вырос, но одновременно с этим серьезно увеличился спрос на талантливых дизайн-менеджеров, которые стремятся делать не просто качественный, а эффективный и актуальный дизайн. Стартапы и телеком, финтех-компании и большие банки ищут тех, кто создаст запоминающийся и эффективный дизайн для цифровых продуктов, сможет интегрировать дизайн в корпоративную культуру и вывести компанию в лидеры."
Грэм Бенджамин: Разумный инвестор: Полное руководство по стоимостному инвестированию,Грэм Бенджамин,1 585 ₽,"Мировой бестселлер, выдержавший множество переизданий по всему миру, книга Бенджамина Грэма (1894–1976) является уникальным пособием по выстраиванию инвестиционной политики. Автор, всемирно известный экономист и авторитетный профессиональный инвестор, главное внимание уделяет не анализу ценных бумаг, а принципам инвестирования, предлагая действовать разумно и осторожно независимо от поведения фондового рынка. Бенджамин Грэм показывает, как много возможностей открывается перед инвестором, ведущим себя, как расчетливый бизнесмен. Разработанные автором подходы к инвестированию — такие как стоимостное инвестирование по оборотным активам, предпринимательское и защищенное стоимостное инвестирование — это бесценные инструменты, безотказно действующие даже в условиях самого капризного рынка."
Игорь Рызов: Переговоры с монстрами. Как договориться с сильными мира сего,Игорь Рызов,731 ₽,"«Монстры» — сильные руководители, чиновники высокого уровня или гуру бизнеса, с которыми предстоят ответственные переговоры. В книге даны техники и сценарии, следуя которым, вы будете на равных с «монстрами» и научитесь завершать сделки на условиях двойного выигрыша (win-win)."
Агзамов Ренат Лимарович: Агзамов в шоколаде. Взбить бизнес до небес,Ренат Агзамов,174 ₽,"﻿Ренат Агзамов — популярный отечественный шоумен, телеведущий, а также  кондитер с мировой известностью. Он создает сладкие шедевры, которые украшают банкетные залы самых влиятельных людей мира. Благодаря своему трудолюбию, упорству и постоянному совершенствованию он превзошел многих кондитеров. Биография этого гениального человека показывает, что стремление к своей цели может дать отличные результаты в будущем."
Игорь Рызов: Монстр продаж. Как чертовски хорошо продавать и богатеть,Игорь Рызов,644 ₽,"Игорь Рызов — ведущий российский эксперт по переговорам, бизнес-тренер. Дважды победитель премии «Деловая книга года в России»."
Галстян Араик Гамлетович: Миллион на цветах. Флористика как успешный бизнес,Араик Галстян,404 ₽,"Книга эксперта-флориста, создателя крупнейшего флористического бренда и образовательной платформы для флористов с миллионной аудиторией."
Шаргородский Максим Михайлович: Лидокол. Как продавать в сфере онлайн-образования,Максим Шаргородский,200 ₽,"Максим Шаргородский — предприниматель, эксперт по созданию прибыльных и современных отделов продаж в онлайн-школах. Среди клиентов Максима известные блогеры и эксперты: Катя Гуру — основатель «Клуба лучшей жизни», Мария Азаренок — стратег первых лиц бизнеса по теме личного бренда и управляемой публичности, Виктория Шергина — основатель ведущей школы по инвестициям."
Дэвис М.: Полное руководство по переговорам,Деловое общение,3 359 ₽,"Правильно проведенные переговоры ведут к устойчивым партнерским отношениям, помогают обеим сторонам достичь более высоких целей, чем они могли бы достичь в одиночку, и позволяют компаниям избегать конфликтов. В этой книге описан простой и эффективный метод ведения переговоров как лично, так и виртуально."
Иванов Алексей Евгеньевич: Бухгалтерия для небухгалтеров. Перевод с бухгалтерского на человеческий,Звезда нонфикшн,600 ₽,"«Бухгалтерия для небухгалтеров» – уникальная в своем роде книга о бухгалтерии, автор которой всячески старается развлечь читателя, чтобы он усвоил тему легко и с удовольствием. Кроме совковой тети Маши тут есть Вася-Паяльник, слияния и поглощения как игра в дочки-матери, ООО «Кидок» и даже – розовый единорог."
Чечукевич Алексей Валерьевич: Инвестиции на диване. Основы инвестирования,Звезда нонфикшн,513 ₽,"Инвестиции на диване, или как новичку начать зарабатывать на бирже."
"Алексей Марков: Лягушка, слон и брокколи. Как жить и как не надо",Алексей Марков,494 ₽,Для правильных решений надо освоить три метода:
"Алексей Марков: Капитал. Как сколотить капитал, как его не потерять, и почему нам его так не хватает",Алексей Марков,1 256 ₽,"Вам кажется, что экономика — это очень скучно? Тогда мы идем к вам! Вам даже не понадобится ""стоп-слово"", чтобы разобраться в заумных формулах — их в книге нет! Все проще, чем кажется. Автор подаст вам экономику под таким дерзким соусом, что вы проглотите ее не жуя!  Вы получите необходимые базовые знания о мировой финансовой системе, а также найдете немало интересных случаев из жизни от реальных экспертов."
"Логунов Станислав: Лидер у доски. Для тех, кто не хочет учить и учиться",Станислав Логунов,869 ₽,Для успешной карьеры сегодня требуется постоянное обучение.
"Гришин Сергей Викторович: Деньги не главное, главное - деньги",Книги-драйверы,950 ₽,Хороший человек ― бедный человек.
"Эмих Олег Константинович, Рыбкин Алексей Германович: Переговорные кейсхаки. Рабираем 97 сложных ситуаций в переговорах",Олег Эмих,844 ₽,"Умение вести переговоры — это навык, который можно освоить только в бою. Именно на практике учатся ловко находить выход из любой ситуации и овладевают мастерством общения."
"Брозовская Елена Ивановна: Я продаю, а у меня не покупают. Руководство по созданию эффективных текстов в соц-сетях",TEXT UP. Копирайтинг нового уровня,713 ₽,"Елена Брозовская — филолог, эксперт по текстам в соцсетях, копирайтер с 20-летним опытом, популярный блогер, которого знают по нику @textbomba"
"Игорь Рызов: Я всегда знаю, что сказать. Книга-тренинг по успешным переговорам",Игорь Рызов,1 094 ₽,"Книга, которую вы держите в руках, объединяет в себе то множество научных подходов, которые существуют в современном мире переговоров."
"Сьюэлл Карл, Браун Пол: Клиенты на всю жизнь",Карл Сьюэлл,800 ₽,"Карл Сьюэлл — успешный бизнесмен, владелец одной из лучших автодилерских компаний США. Сьюэллу удалось поднять продажи до невиданных высот благодаря привлечению и удержанию покупателей. Его книга являет собой практическое руководство по работе с клиентами (а попутно и по организации работы предприятия, маркетингу и мерчендайзингу)."
Найти идею. Введение в ТРИЗ - теорию решения изобретательских задач,Альтшуллер Генрих Саулович,828 ₽,О чем книга «Найти идею: Введение в ТРИЗ — теорию решения изобретательских задач»
"Ким В. Чан, Моборн Рене: Стратегия голубого океана",МИФ. Бизнес,2 024 ₽,"Чан Ким и Моборн предлагают подробные инструкции по выведению компании из состояния конкурентного стресса и созданию совершенно новой бизнес-модели. ""Стратегия голубого океана"" — это не просто книга, а целая философия успешности"
"Кейси Майкл, Винья Пол: Эпоха криптовалют. Как биткоин и блокчейн меняют мировой экономический порядок",Майкл Кейси,1 835 ₽,"Обозреватели Wall Street Journal Пол Винья и Майкл Кейси рассказывают о страхах, окружающих биткоин как средство расчета и призывают читателей приготовиться к новой экономической реальности — если и не крипто-, то цифровых валют, которая неминуемо наступит."
"Филип Котлер, Картаджайа Хермаван, Сетиаван Айвен: Маркетинг 4.0. Разворот от традиционного к цифровому: технологии продвижения в интернете",Филип Котлер,1 094 ₽,"Маркетинг 4.0 — подход, который учитывает столкновение оффлайн-интересов бизнеса и возможностей онлайн-продвижения. Диджитал дает возможность усилить эффективность взаимодействия с клиентом за счет DATA-аналитики, ИИ, чат-ботов, воронок продаж в интернете и других современных инструментов."
"Гогохия Инди: Продвижение в Telegram, WhatsApp, Skype и других мессенджерах (супер)",Инди Гогохия,906 ₽,"«Мессенджеры сегодня — новый цифровой канал общения с клиентом, повышающий лояльность в разы. „Добавь клиента в друзья“ — книга Инди о мессенджерах. А Инди Гогохия — мой гуру в новых средствах коммуникаций.»"
"Силаев А.: Деньги без дураков: Почему инвестировать сложнее, чем кажется, и как это делать правильно",Инвестиции,768 ₽,"Деньги без дураков — это и учебник по инвестированию для начинающих, и пособие для трейдеров, и введение в поведенческие финансы. Ее автор — практик рыночной торговли и рационального мышления — предлагает по новому взглянуть на деятельность инвестора. Здесь вы найдете непредвзятый анализ рыночной индустрии и детальный разбор доступных для частных лиц инструментов: валюта, золото, депозиты, облигации, займы, акции стоимости, акции роста, голубые фишки, второй эшелон, структурные продукты, ПИФы, ДУ, виды трейдинга и т.д. Автор показывает, где именно и как теряет инвестор, раскрывает хитрости и уловки участников финансового рынка. Александр Силаев, по образованию экономист и философ, преподавал в СибГТУ, работал журналистом в красноярских журналах и газетах. В 2014 г. он ""сменил буквы на цифры"" и с тех пор живет на доходы с инвестиций и спекуляций. По признанию автора, в 2010 г., когда он начинал, такая книга сэкономила бы ему сотни тысяч рублей и месяцы жизни. Это практическое руководство будет полезно всем, кто намерен разобраться в мире инвестиций или хочет повысить их эффективность."
"Стоянов Игорь: Бизнес от сердца. Принципы основателя имидж-лабораторий ""Персона""",Игорь Стоянов,200 ₽,"﻿Бьюти-бизнес считается одним из самых тяжелых и капризных направлений предпринимательства. Постоянная конкуренция, непрерывно изменяющийся рынок и модные тенденции, требовательные клиенты — вырастить свое дело в этой среде очень непросто, а удержать на плаву долгое время способны немногие."
"Котлер Ф.: Маркетинг от А до Я. 80 концепций, которые должен знать каждый менеджер, 4-е изд. Котлер Ф.","Маркетинг, реклама, PR",768 ₽,"О чем книга ""Маркетинг по Котлеру: Как создать, завоевать и удержать рынок """
e-Learning. Пошаговое руководство по разработке электронного обучения,Бизнес. Лучший мировой опыт,146 ₽,"Онлайн-курс — это больше, чем просто презентация в Power Point, утверждает Тим Слейд. Будучи международным экспертом по электронному обучению и постоянным спикером профильных конференций, он создал исчерпывающее руководство по созданию e-Learning-курсов. Эта книга — гарантия, что вы не допустите типичных ошибок новичка и сумеете разработать первоклассный образовательный продукт."
"Юнгблут Рюдигер: Автомобильная династия. История семьи, создавшей империю BMW",Рюдигер Юнгблут,994 ₽,ИСТОРИЯ УСПЕХА ЛЕГЕНДАРНОЙ КОМПАНИИ BMW.
Игорь Рызов: Хватит мне звонить. Правила успешных переговоров в мессенджерах и социальных сетях,Игорь Рызов,669 ₽,ХВАТИТ МНЕ ЗВОНИТЬ! ПРАВИЛА УСПЕШНЫХ ПЕРЕГОВОРОВ В МЕССЕНДЖЕРАХ И СОЦИАЛЬНЫХ СЕТЯХ.
"Лекторович Сергей Владимирович: Сначала будет страшно. 7 жизней, которые мне пришлось прожить, чтобы стать настоящим предпринимателем",Сергей Лекторович,200 ₽,О чем эта книга?
Клочков Алексей Константинович: Вовлечённость и лояльность персонала от А до Я,Алексей Клочков,1 044 ₽,"Вовлекай и повышай продуктивность сотрудников! Автор книги Алексей Клочков, один из ведущих экспертов в области управленческого консалтинга России, руководитель HR Tech компании, которая за счет современных технологий изменила индустрию исследований и процессы развития лояльности и вовлеченности персонала. Огромный опыт и экспертиза исследований легли в основу книги. Эта книга предназначена для практического применения и дает возможность немедленно применить методики в своей работе. Автор объясняет, как свести текучесть персонала к минимуму, удержать ценных сотрудников, увеличить продуктивность и инициативность персонала и развивать лояльность и вовлеченность команды."
"Антощенко В.: Разгневанный Клиент, я люблю тебя",Работа с клиентами,708 ₽,"Это вторая книга, написанная Виталием Антощенко — известным российским специалистом в области культуры сервиса, сертифицированным тренером и разработчиком корпоративных семинаров по эффективному управлению и мотивации, президентом холдинга ""Объединенная Консалтинговая Группа""."
"Белкер Лорен, Маккормик Джим, Топчик Гэри: Лидер 3.0. Вечные правила эффективного руководства",Лорен Белкер,314 ₽,"Повышение по службе может стать настоящим испытанием: не всякий профессионал своего дела сразу сумеет сориентироваться в обязанностях и полномочиях, доставшихся с новым статусом. Как провести собеседование и подобрать нужного специалиста в свою команду? Как построить совещание? Мотивировать подчиненных? Оставаться спокойным и принимать взвешенные решения в условиях стресса? Выстроить здоровые отношения в коллективе? Контролировать удаленных сотрудников? Оценивать персонал?"
"Восканян Лилит Рафиковна: Практикум по книге ""Бизнес ручной работы""",Лилит Восканян,156 ₽,"Время применить на практике все советы, которые дала Лилит Восканян в своей книге ""Бизнес ручной работы""!"
Смольникова Ю.: Самоучитель по бухгалтерскому учету,Бухгалтерский учет. Аудит,206 ₽,Самоучитель по бухгалтерскому учету включает в себя материал по основам бухгалтерского учета и по бухгалтерскому финансовому учету в организациях. В третьей главе представлена кейс-ситуация по ведению бухгалтерского учета и составлению финансовой отчетности предприятия. Материал расположен по темам бухгалтерского учета.
"Орд Т.: Секретная наука о цене и объем. Техники обнаружения рыночных трендов, горячих секторов и лучших акций",Маркетинг и Реклама,2 829 ₽,"Анализ цен и объемов — проверенный способ торговли на рынках. Он был разработан Ричардом Вайкоффом в начале двадцатого века, и эта техника продолжает приносить постоянную прибыль многим практикующим трейдерам. За время своей успешной карьеры Тим Орд творчески переработал концепцию и построил выигрышную торговую стратегию. В книге «Секретная наука о цене и объеме» он делится своими знаниями с вами. Написанная в доступном стиле, «Секретная наука о цене и объеме» описывает нисходящий подход к торговле, который позволит максимально эффективно использовать свое время на различных рынках — от акций до сырья. С помощью этой книги вы быстро освоите проверенный временем метод Орда и узнаете, как его использовать для принятия прибыльных торговых решений. Вы научитесь:"
"Завертайлов Владимир: Настольная книга project-менеджера. Что нужно знать, чтобы управлять IT, digital и другими проектами с учетом российских реалий",Top expert. Практичные книги для работы над собой,2 106 ₽,"Максимально полный путеводитель по профессии российского project-менеджера. В нем Владимир Завертайлов, основатель и руководитель scrum-студии «Сибирикс», которая входит в Топ-10 лучших веб-студий страны, рассказывает, как управлять собственным digital-производством и грамотно руководить проектом, заказывая digital-услуги на стороне. А еще — как расти в этой профессии, опираясь на знания о продуктовых техниках и понимая потребности бизнеса."
"Десаи Михир А.: Разумный финансист. Знает, что стоит за цифрами, управляет рисками, получает прибыль",Просто о финансах,1 150 ₽,"Цифры и коэффициенты в отчетности могут пугать так, что хочется спрятаться за спиной матерого финансиста. Но что, если финансы — больше не узкоспециальная сфера, а необходимое знание для любого, кто строит бизнес, покупает, продает или инвестирует? Долго игнорировать EBITDA и Cash Flow не получится."
"Батырев Максим : 45 татуировок продавана. Правила для тех, кто продаёт и управляет продажами. NEON Pocketbooks",Батырев Максим,371 ₽,"Новые 45 татуировок из продавцового прошлого Максима Батырева — как в роли рядового менеджера по продажам, так и в роли руководителя: успехи, неудачи, выводы из них."
Батырев Максим : Сложные подчиненные. Практика российских руководителей. NEON Pocketbooks,Батырев Максим,391 ₽,"Известный российский менеджер Максим Батырев на основе 2000 кейсов написал книгу о том, как найти подход к трудным сотрудникам."
"Черняева Е.Н.: Криптовалюты. Знания, которые не займут много места",Теперь всё стало ясно!,200 ₽,О книге
Лефевр Эдвин: Воспоминания биржевого спекулянта,Эдвин Лефевр,250 ₽,"Известные трейдеры современности в один голос заявляют: книга «Воспоминания биржевого спекулянта» стала одной из важнейших в их жизни. Почти 100 лет она регулярно переиздается и заслуженно считается классикой биржевой литературы. Эта книга — художественная биография одного из величайших трейдеров в истории Джесси Ливермора по прозвищу Великий Медведь. Автор рассказывает о пути главного героя начиная с 14 лет, когда он работал в брокерской конторе, до зрелого финансиста, который уже не раз терял и зарабатывал состояние."
Клейсон Джордж: Самый богатый человек в Вавилоне,Джордж Клейсон,268 ₽,"«Самый богатый человек в Вавилоне» — настольная книга по финансовой грамотности для самого широкого круга читателей. Стилизовав свою прозу под поучения бедного вавилонского писца, ставшего самым богатым человеком в городе, Джордж Клейсон написал экономический бестселлер на все времена, который и по сей день издается миллионными тиражами."
"Игорь Рызов: 79 психотрюков. Приемы в общении, которым не учат в школе. Карты",Игорь Рызов,756 ₽,"Речевые карточки, созданные для тренировки реакции в разговоре и избавления от «лестничного остроумия». Идеально дополнят книгу Игоря Рызова «Психотрюки. 69 приемов в общении, которым не учат в школе»."
"Катасонов В.Ю.: О проценте: ссудном, подсудном, безрассудном. ""Денежная цивилизация"" и современный кризис",Финансовый анализ,1 199 ₽,"Ростовщик, лихоимец, мздоимец - так называли его в давние времена. Кредитор, финансист, банкир - так он зовется сегодня. Почему же за понятием ""ростовщик"" исторически закрепилась негативная оценка? Почему люди и тогда и сейчас воспринимают операции с взиманием процента как отрицательное явление в экономической сфере?"
